file,column
isolate_accession_line_list_345.csv,MDR_genomic_profile
isolate_accession_line_list_345.csv,CARB_R_genomic_marker
isolate_accession_line_list_345.csv,MAC_R_genomic_marker
isolate_accession_line_list_345.csv,genomic_determinants
isolate_accession_line_list_345.csv,AMRFinder_class_count
isolate_accession_line_list_345.csv,filtered_determinant_count
isolate_accession_line_list_345.csv,phenotyped_Kenneth
isolate_accession_line_list_345.csv,XDR_phenotype
isolate_accession_line_list_345.csv,CC25_panel
isolate_accession_line_list_345.csv,ST335_panel
isolate_accession_line_list_345.csv,plot_label
isolates_outside_CC25_tree_18.csv,isolate_id
isolates_outside_CC25_tree_18.csv,source_isolate_id
isolates_outside_CC25_tree_18.csv,run_accession
isolates_outside_CC25_tree_18.csv,sample_accession
isolates_outside_CC25_tree_18.csv,country
isolates_outside_CC25_tree_18.csv,source_type
isolates_outside_CC25_tree_18.csv,source_detail
isolates_outside_CC25_tree_18.csv,invasive
isolates_outside_CC25_tree_18.csv,year
isolates_outside_CC25_tree_18.csv,lineage
isolates_outside_CC25_tree_18.csv,sequence_type
isolates_outside_CC25_tree_18.csv,clonal_complex
isolates_outside_CC25_tree_18.csv,source_group
isolates_outside_CC25_tree_18.csv,in_CC25_tree
isolates_outside_CC25_tree_18.csv,in_ST335_tree
isolates_outside_CC25_tree_18.csv,CC25_order
isolates_outside_CC25_tree_18.csv,ST335_order
isolates_outside_CC25_tree_18.csv,experiment_accession
isolates_outside_CC25_tree_18.csv,accession_basis
isolates_outside_CC25_tree_18.csv,XDR_genomic_profile
isolates_outside_CC25_tree_18.csv,MDR_genomic_profile
isolates_outside_CC25_tree_18.csv,CARB_R_genomic_marker
isolates_outside_CC25_tree_18.csv,MAC_R_genomic_marker
isolates_outside_CC25_tree_18.csv,genomic_determinants
isolates_outside_CC25_tree_18.csv,AMRFinder_class_count
isolates_outside_CC25_tree_18.csv,filtered_determinant_count
isolates_outside_CC25_tree_18.csv,phenotyped_Kenneth
isolates_outside_CC25_tree_18.csv,XDR_phenotype
isolates_outside_CC25_tree_18.csv,CC25_panel
isolates_outside_CC25_tree_18.csv,ST335_panel
isolates_outside_CC25_tree_18.csv,plot_label
neonatal_unit_isolates_37.csv,isolate_id
neonatal_unit_isolates_37.csv,run_accession
