isolate_id,run_accession,sample_accession,archive_alias,country,region,year,sequence_type,source_type,source_detail
ERR9924209,ERR9924209,ERS12382480,YA00235261,South Africa,Free State,2021,335,Human,Stool
ERR9929342,ERR9929342,ERS12419513,YA00352705,South Africa,Western Cape,2022,335,Human,Stool
ERR9939684,ERR9939684,ERS12443980,YA00362305,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9939690,ERR9939690,ERS12443986,YA00361836,South Africa,Mpumalanga,2022,335,Human,Blood culture
ERR9941258,ERR9941258,ERS12446656,YA00363275,South Africa,Western Cape,2022,335,Human,Stool
ERR9966382,ERR9966382,ERS12472969,YA00365251,South Africa,Western Cape,2022,335,Human,Stool
ERR9966386,ERR9966386,ERS12472973,YA00365227,South Africa,Eastern Cape,2022,335,Human,Blood culture
ERR9966387,ERR9966387,ERS12472974,YA00365279,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9966388,ERR9966388,ERS12472975,YA00365231,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9966389,ERR9966389,ERS12472976,YA00365274,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9966390,ERR9966390,ERS12472977,YA00365239,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9971918,ERR9971918,ERS12480441,YA00250275,South Africa,Gauteng,2021,335,Human,Stool
ERR9976609,ERR9976609,ERS12496855,YA00236639,South Africa,Gauteng,2021,335,Human,Stool
SRR10326268,SRR10326268,SRS5556410,824481,United Kingdom,,2019,216,Human,Homo sapiens; human
SRR10992537,SRR10992537,SRS6083279,877348,United Kingdom,,2020,216,Human,Homo sapiens; human
SRR1106363,SRR1106363,SRS528822,BCW_2874,,,NA,3390,,
SRR1106479,SRR1106479,SRS528706,BCW_2703,Taiwan,,2002,216,Human,Homo sapiens; human
SRR1264936,SRR1264936,SRS598390,FMA0126,India,,2011,2261,Plant,red chilli powder
SRR1264948,SRR1264948,SRS598402,FMA0127,India,,2011,2261,Plant,red chilli powder
SRR13277412,SRR13277412,SRS7902263,CFSAN107253,Brazil,,2017,216,Avian,hydrolyzed blood and feather animal meal
SRR13277416,SRR13277416,SRS7902267,CFSAN107254,Brazil,,2017,216,Unspecified Meat,sausage
SRR13277434,SRR13277434,SRS7902285,CFSAN107255,Brazil,,2017,216,Avian,feather animal meal
SRR13311773,SRR13311773,SRS7927857,CFSAN107221,Brazil,,2016,216,Soil/Dust,cleaning wipe
SRR13312061,SRR13312061,SRS7927934,CFSAN107216,Brazil,,2016,216,Soil/Dust,cleaning wipe
SRR13313295,SRR13313295,SRS7929255,CFSAN107271,Brazil,,2018,216,Avian,hydrolized feather animal meal
SRR13313309,SRR13313309,SRS7929272,CFSAN107269,Brazil,,2018,216,Avian,hydrolyzed feather animal meal
SRR13313312,SRR13313312,SRS7929273,CFSAN107283,Brazil,,2018,216,Human,urine; Homo sapiens
SRR13719196,SRR13719196,SRS8264689,CFSAN107245,Brazil,,2017,216,Avian,animal feed; feather animal meal
SRR13719289,SRR13719289,SRS8264772,CFSAN107277,Brazil,,2018,216,Swine,veterinary clinical/research| pig; swine intestine (Sus scrofa)
SRR13719614,SRR13719614,SRS8265095,CFSAN107275,Brazil,,2018,216,Avian,animal feed; hydrolyzed feather animal meal
SRR13833609,SRR13833609,SRS8357639,1112417,United Kingdom,,2021,335,Human,Homo sapiens; human
SRR14360286,SRR14360286,SRS8802471,PNUSAS199782,United States,,2021,216,,
SRR14921286,SRR14921286,SRS9280452,1225720,United Kingdom,,2021,216,Human,Homo sapiens; human
SRR15853458,SRR15853458,SRS10124007,1312766,United Kingdom,,2021,216,ND/Others,animal
SRR16227977,SRR16227977,SRS10471325,1489309,United Kingdom,,2021,216,Human,Homo sapiens; human
SRR16301618,SRR16301618,SRS10536204,1497149,United Kingdom,,2021,216,Human,Homo sapiens; human
SRR1643104,SRR1643104,SRS738464,H121920487,United Kingdom,England,2012,1994,Human,Homo sapiens; human
SRR1646109,SRR1646109,SRS740757,H123060348,United Kingdom,England,2012,216,Human,Homo sapiens; human
SRR1810522,SRR1810522,SRS850547,FDA435770,Indonesia,,2009,1994,Fish,"snapper fillet - frozen, malabar"
SRR1966891,SRR1966891,SRS903511,55561,United Kingdom,England,2014,216,Human,Homo sapiens; human
SRR1967735,SRR1967735,SRS904472,9157,United Kingdom,England,2014,216,Human,Homo sapiens; human
SRR1973602,SRR1973602,SRS909371,CFSAN006185,Colombia,Sucre,2007,216,Dairy,cheese
SRR20212638,SRR20212638,SRS13887098,SLFE_9406,Russia,,NA,216,,
SRR21224019,SRR21224019,SRS14800828,1687449,United Kingdom,,2022,216,Human,Homo sapiens; human
SRR21535455,SRR21535455,SRS15086134,MPSPSA212-2,Mexico,,2021,216,Water/River,environmental-water; River
SRR21535466,SRR21535466,SRS15086139,MPSPSA212-1,Mexico,,2021,216,Water/River,environmental-water; River
SRR2173991,SRR2173991,SRS1039483,FDA00000465,India,,2003,1994,Shellfish,raw shrimp
SRR21787058,SRR21787058,SRS15307356,MPSPSA2084-3,Mexico,,2021,216,Water/River,environmental-water; pond
SRR21787324,SRR21787324,SRS15307594,MPSPSA2084-2,Mexico,,2021,216,Water/River,environmental-water; pond
SRR22163673,SRR22163673,SRS15644016,PNUSAS314347,United States,,2022,1994,,
SRR22175068,SRR22175068,SRS15655135,MPSPSA20100-1,Mexico,,2021,216,Water/River,environmental-water; river
SRR22691594,SRR22691594,SRS16098242,1783233,United Kingdom,,2022,216,Human,Homo sapiens; human
SRR26050334,SRR26050334,SRS18873009,PNUSAS381738,United States,,2023,216,,
SRR26463587,SRR26463587,SRS19225269,AUSMDU00035038,Australia,Victoria,2019,1994,Human,Homo sapiens; FAECES
SRR26858817,SRR26858817,SRS19562298,PNUSAS401743,United States,,2023,216,,
SRR27185117,SRR27185117,SRS19839564,PNUSAS407709,United States,,2023,216,,
SRR27481520,SRR27481520,SRS20103408,W250-20-1,Brazil,,2022,216,Water/River,environmental-water; Stream
SRR27481649,SRR27481649,SRS20103537,W250-22-1,Brazil,,2022,216,Water/River,environmental-water; Stream
SRR27481651,SRR27481651,SRS20103539,W250-33-1,Brazil,,2022,216,Water/River,environmental-water; Stream
SRR27481815,SRR27481815,SRS20103703,W250-15-1,Brazil,,2022,216,Water/River,environmental-water; Stream
SRR27481822,SRR27481822,SRS20103709,W250-11-1,Brazil,,2022,216,Water/River,environmental-water; Stream
SRR27762886,SRR27762886,SRS20282324,PNUSAS417455,United States,,2024,216,,
SRR28295566,SRR28295566,SRS20726766,1841150,United Kingdom,,2021,216,Human,Homo sapiens; human
SRR2917136,SRR2917136,SRS1163110,PNUSAS001164,United States,,2015,216,Human,Age: 60-69; urine
SRR2917137,SRR2917137,SRS1163111,PNUSAS001167,United States,,2015,216,Human,Age: 40-49
SRR2917138,SRR2917138,SRS1163368,PNUSAS001166,United States,,2015,216,Human,Age: 50-59; stool
SRR2917139,SRR2917139,SRS1163371,PNUSAS001165,United States,,2015,216,Human,Age: 50-59; stool
SRR2917140,SRR2917140,SRS1163372,PNUSAS001168,United States,,2015,216,Human,Age: 50-59; urine
SRR2961321,SRR2961321,SRS1180329,PNUSAS001235,United States,,2015,1994,Human,Age: 60-69; urine
SRR3001933,SRR3001933,SRS1207317,PNUSAS001163,United States,,2015,216,Human,Age: 40-49; stool
SRR3002514,SRR3002514,SRS1207369,PNUSAS001232,United States,,2008,216,Human,Age: 30-39; stool
SRR3049609,SRR3049609,SRS1220220,99745,United Kingdom,England,NA,216,Human,Homo sapiens; human
SRR3137069,SRR3137069,SRS1271326,PNUSAS001369,United States,,2015,216,Human,Age: 60-69; stool
SRR3322715,SRR3322715,SRS1371900,135054,United Kingdom,,2015,1994,Human,Homo sapiens; human
SRR5056398,SRR5056398,SRS1819954,SA20041605,,,NA,216,,
SRR5084265,SRR5084265,SRS1841914,PNUSAS006010,United States,,2016,216,Human,Age: 60-69; stool
SRR5121494,SRR5121494,SRS1871658,PNUSAS006009,United States,,2016,216,Human,Age: 50-59; blood
SRR5121497,SRR5121497,SRS1871661,PNUSAS006008,United States,,2015,216,Human,Age: 50-59; urine
SRR5379276,SRR5379276,SRS2073636,PNUSAS009815,United States,,NA,216,,
SRR5799674,SRR5799674,SRS2333035,PNUSAS015517,United States,,2017,1994,Human,Age: 20-29; blood
SRR6107195,SRR6107195,SRS2546827,PNUSAS023144,United States,,NA,216,,
SRR6457657,SRR6457657,SRS2822385,2014AM-0235,United States,,NA,216,,
SRR6684992,SRR6684992,SRS2924811,CDPH_CSalm324,United States,California,2015,1994,Human,Homo sapiens
SRR6685117,SRR6685117,SRS2924685,CDPH_CSalm107,United States,California,2014,1994,Human,Homo sapiens
SRR7130368,SRR7130368,SRS3268540,NC_SIsa424,Brazil,,2016,216,ND/Others,environmental-abattoir; slaughterhouse
SRR7130369,SRR7130369,SRS3268548,NC_SI667,Brazil,,2016,216,ND/Others,environmental-abattoir; slaughterhouse
SRR7130370,SRR7130370,SRS3268551,NC_SIsa425,Brazil,,2016,216,ND/Others,environmental-abattoir; slaughterhouse
SRR7130371,SRR7130371,SRS3268550,NC_SIsa406,Brazil,,2016,216,ND/Others,environmental-abattoir; slaughterhouse
SRR7292689,SRR7292689,SRS3406154,320961,United Kingdom,,2016,1994,Human,Homo sapiens; human
SRR7292863,SRR7292863,SRS3406279,446526,United Kingdom,,2017,216,Human,Homo sapiens; human
SRR7427053,SRR7427053,SRS3460827,122243,United Kingdom,,2015,216,Human,Homo sapiens; human
SRR7457932,SRR7457932,SRS3490531,202248,United Kingdom,,2015,5028,Human,Homo sapiens; human
SRR7467291,SRR7467291,SRS3498154,PNUSAS045284,United States,,NA,216,,
SRR7841631,SRR7841631,SRS3785776,576366,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR7842526,SRR7842526,SRS3786626,591814,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR7850690,SRR7850690,SRS3787773,592638,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR7884719,SRR7884719,SRS3807500,588910,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR8137438,SRR8137438,SRS3998326,607847,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR8293522,SRR8293522,SRS4117556,650052,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR8297279,SRR8297279,SRS4120730,600697,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR8325561,SRR8325561,SRS4149673,653577,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR8350305,SRR8350305,SRS4170645,588907,United Kingdom,,2018,216,Human,Homo sapiens; human
SRR8369293,SRR8369293,SRS4186707,585946,United Kingdom,,2018,216,Human,Homo sapiens; human
